0.200000, 0.269445
0.400000, 0.614720
0.600000, 0.391868
0.800000, 0.047723
1.000000, 0.260358
1.200000, 0.149837
1.400000, 0.137960
1.600000, 0.114363
1.800000, 0.036306
2.000000, 0.043707
2.200000, 0.040637
2.400000, 0.044068
2.600000, 0.041223
2.800000, 0.045201
3.000000, 0.047212
3.200000, 0.041239
3.400000, 0.040105
3.600000, 0.046138
3.800000, 0.046778
4.000000, 0.039966
4.200000, 0.041433
4.400000, 0.041579
4.600000, 0.044792
4.800000, 0.043310
5.000000, 0.047549
5.200000, 0.044306
5.400000, 0.042559
5.600000, 0.043650
5.800000, 0.044234
