#eta	order
0.000000	0.999934
0.314159	0.995199
0.628319	0.980060
0.942478	0.955755
1.256637	0.919568
1.570796	0.871611
1.884956	0.805515
2.199115	0.728649
2.513274	0.625635
2.827433	0.504098
3.141593	0.391206
3.455752	0.302882
3.769911	0.261305
4.084070	0.222256
4.398230	0.197233
4.712389	0.176568
5.026548	0.160801
5.340708	0.152625
5.654867	0.145818
5.969026	0.141239
